item_name,price,month,year,city_id
item1,23,4,2023,1
item2,80,4,2023,1
item3,70,4,2023,1
item4,67,4,2023,1
item5,53,4,2023,1
item6,36,4,2023,1
item7,45,4,2023,1
item1,23,4,2023,2
item2,75,4,2023,2
item3,68,4,2023,2
item4,67,4,2023,2
item5,52,4,2023,2
item6,33,4,2023,2
item7,47,4,2023,2
item1,25,4,2023,3
item2,80,4,2023,3
item3,70,4,2023,3
item4,66,4,2023,3
item5,55,4,2023,3
item6,40,4,2023,3
item7,42,4,2023,3
item1,22,4,2023,4
item2,82,4,2023,4
item3,72,4,2023,4
item4,65,4,2023,4
item5,50,4,2023,4
item6,36,4,2023,4
item7,43,4,2023,4
item1,23,4,2023,5
item2,75,4,2023,5
item3,74,4,2023,5
item4,54,4,2023,5
item5,51,4,2023,5
item6,38,4,2023,5
item7,42,4,2023,5
item1,23,4,2023,6
item2,83,4,2023,6
item3,73,4,2023,6
item4,66,4,2023,6
item5,55,4,2023,6
item6,34,4,2023,6
item7,44,4,2023,6
item1,22,4,2023,7
item2,82,4,2023,7
item3,72,4,2023,7
item4,65,4,2023,7
item5,50,4,2023,7
item6,36,4,2023,7
item7,43,4,2023,7
item1,22,4,2023,8
item2,82,4,2023,8
item3,72,4,2023,8
item4,65,4,2023,8
item5,54,4,2023,8
item6,36,4,2023,8
item1,22,4,2023,9
item2,81,4,2023,9
item3,72,4,2023,9
item4,66,4,2023,9
item5,50,4,2023,9
item6,36,4,2023,9
item1,22,4,2023,10
item2,80,4,2023,10
item3,72,4,2023,10
item4,60,4,2023,10
item5,46,4,2023,10
item6,36,4,2023,10
item7,42,4,2023,10
item1,20,4,2023,11
item2,82,4,2023,11
item3,71,4,2023,11
item4,64,4,2023,11
item5,50,4,2023,11
item6,37,4,2023,11
item1,22,4,2023,12
item2,82,4,2023,12
item3,70,4,2023,12
item4,63,4,2023,12
item5,50,4,2023,12
item6,36,4,2023,12
item7,45,4,2023,12
item7,44,4,2023,8
item7,46,4,2023,9
item7,43,4,2023,11